order_id,order_date_id,customer_id,product_id,location_id,quantity,cost_price,selling_price,discount_amount,shipping_cost,revenue,net_profit,order_status,payment_method,date,day,month,month_name,quarter,year,week_day,customer_name,gender,age_group,product_name,category,sub_category,brand,country,state,city,region
ORD-0000001,20210701,CUST-00316,PROD-0014,LOC-0015,1,635.87,805.75,0.0,12.13,805.75,157.75,Delivered,Debit Card,2021-07-01,1,7,July,Q3,2021,Thursday,Donald Patel,Male,35-44,iPad Air,Electronics,Tablets,Apple,Canada,Ontario,Ottawa,East
ORD-0000002,20210701,CUST-00316,PROD-0044,LOC-0013,3,59.26,89.93,0.0,20.44,269.79,71.57,Delivered,Credit Card,2021-07-01,1,7,July,Q3,2021,Thursday,Donald Patel,Male,35-44,Chuck Taylor All Star,Clothing,Footwear,Converse,Canada,Quebec,Montreal,East
ORD-0000003,20210701,CUST-00053,PROD-0008,LOC-0028,1,1021.53,1238.22,0.0,25.29,1238.22,191.4,Returned,Credit Card,2021-07-01,1,7,July,Q3,2021,Thursday,Jacob Davis,Male,18-24,MacBook Air M2,Electronics,Laptops,Apple,Australia,South Australia,Adelaide,South
ORD-0000004,20210701,CUST-00168,PROD-0087,LOC-0019,1,17.48,21.34,0.0,9.19,21.34,-5.33,Delivered,Credit Card,2021-07-01,1,7,July,Q3,2021,Thursday,Nana Martinez,Female,55+,The Psychology of Money,Books,Non-Fiction,Crown,UK,England,Manchester,North
ORD-0000005,20210701,CUST-00409,PROD-0061,LOC-0022,3,106.28,160.05,0.0,24.09,480.15,137.22,Delivered,Debit Card,2021-07-01,1,7,July,Q3,2021,Thursday,Raymond Dupont,Male,18-24,Luxe Core Sheet Set,Home & Kitchen,Bedding,Brooklinen,UK,Wales,Cardiff,West
ORD-0000006,20210701,CUST-00202,PROD-0007,LOC-0011,1,1523.5,1839.86,28.49,14.16,1811.37,273.71,Delivered,Credit Card,2021-07-01,1,7,July,Q3,2021,Thursday,Victoria Moreau,Female,25-34,MacBook Pro 14-inch,Electronics,Laptops,Apple,Canada,Ontario,Toronto,East
ORD-0000007,20210702,CUST-00290,PROD-0076,LOC-0055,1,65.15,123.1,0.0,5.72,123.1,52.23,Shipped,Debit Card,2021-07-02,2,7,July,Q3,2021,Friday,Cheryl James,Female,25-34,Protini Polypeptide Cream,Beauty,Skincare,Drunk Elephant,Japan,Fukuoka,Fukuoka,South
ORD-0000008,20210702,CUST-00136,PROD-0036,LOC-0036,2,75.89,122.84,31.58,18.03,214.1,44.29,Delivered,UPI,2021-07-02,2,7,July,Q3,2021,Friday,Thomas Sato,Male,45-54,Floral Midi Dress,Clothing,Women's Wear,Zara,India,West Bengal,Kolkata,East
ORD-0000009,20210702,CUST-00340,PROD-0070,LOC-0046,1,232.43,353.16,0.0,13.21,353.16,107.52,Shipped,Credit Card,2021-07-02,2,7,July,Q3,2021,Friday,Sandra Lewis,Female,25-34,Atmos AG 65 Backpack,Sports,Outdoor,Osprey,France,Provence-Alpes-Cote d Azur,Marseille,South
ORD-0000010,20210702,CUST-00085,PROD-0096,LOC-0010,4,19.5,27.23,0.0,17.05,108.92,13.87,Delivered,Credit Card,2021-07-02,2,7,July,Q3,2021,Friday,Joyce Smith,Female,35-44,Monopoly Classic Edition,Toys & Games,Board Games,Hasbro,USA,Colorado,Denver,West
ORD-0000011,20210702,CUST-00358,PROD-0079,LOC-0008,1,205.77,335.4,0.0,5.46,335.4,124.17,Shipped,Cash on Delivery,2021-07-02,2,7,July,Q3,2021,Friday,Deborah Koch,Female,55+,Gold Professional Styler,Beauty,Haircare,GHD,USA,Washington,Seattle,West
ORD-0000012,20210702,CUST-00191,PROD-0061,LOC-0049,1,122.03,166.61,0.0,20.56,166.61,24.02,Delivered,Credit Card,2021-07-02,2,7,July,Q3,2021,Friday,Amanda Nair,Female,18-24,Luxe Core Sheet Set,Home & Kitchen,Bedding,Brooklinen,France,Hauts-de-France,Lille,North
ORD-0000013,20210703,CUST-00151,PROD-0045,LOC-0002,1,74.94,119.08,20.85,7.36,98.23,15.93,Returned,Cash on Delivery,2021-07-03,3,7,July,Q3,2021,Saturday,Benjamin Hall,Male,25-34,Old Skool Sneakers,Clothing,Footwear,Vans,USA,California,San Francisco,West
ORD-0000014,20210703,CUST-00360,PROD-0014,LOC-0035,2,672.54,859.82,0.0,12.09,1719.64,362.47,Delivered,Debit Card,2021-07-03,3,7,July,Q3,2021,Saturday,Amit Iyer,Male,45-54,iPad Air,Electronics,Tablets,Apple,India,Tamil Nadu,Chennai,South
ORD-0000015,20210703,CUST-00106,PROD-0090,LOC-0046,1,13.43,15.99,0.64,11.79,15.35,-9.87,Shipped,Credit Card,2021-07-03,3,7,July,Q3,2021,Saturday,Edward Gonzalez,Male,25-34,Pike Place Ground Coffee 1lb,Grocery,Coffee & Tea,Starbucks,France,Provence-Alpes-Cote d Azur,Marseille,South
ORD-0000016,20210703,CUST-00099,PROD-0022,LOC-0054,2,2243.16,2532.8,391.76,23.31,4673.84,164.21,Cancelled,Cash on Delivery,2021-07-03,3,7,July,Q3,2021,Saturday,Edward Hughes,Male,18-24,Alpha 7 IV Mirrorless,Electronics,Cameras,Sony,Japan,Hokkaido,Sapporo,North
ORD-0000017,20210704,CUST-00317,PROD-0016,LOC-0022,3,125.5,154.87,0.0,13.72,464.61,74.39,Shipped,Debit Card,2021-07-04,4,7,July,Q3,2021,Sunday,Joseph Moreau,Male,18-24,Fire HD 10,Electronics,Tablets,Amazon,UK,Wales,Cardiff,West
ORD-0000018,20210704,CUST-00396,PROD-0101,LOC-0014,1,24.56,36.51,0.0,7.62,36.51,4.33,Delivered,Cash on Delivery,2021-07-04,4,7,July,Q3,2021,Sunday,Mia Thomas,Female,55+,Classic Notebook Large,Office,Stationery,Moleskine,Canada,Alberta,Calgary,West
ORD-0000019,20210704,CUST-00099,PROD-0013,LOC-0039,1,1006.09,1200.7,73.9,11.68,1126.8,109.03,Delivered,UPI,2021-07-04,4,7,July,Q3,2021,Sunday,Edward Hughes,Male,18-24,iPad Pro 12.9-inch,Electronics,Tablets,Apple,Germany,Berlin,Berlin,North
ORD-0000020,20210704,CUST-00191,PROD-0022,LOC-0044,1,2416.31,3082.96,133.86,11.29,2949.1,521.5,Returned,Credit Card,2021-07-04,4,7,July,Q3,2021,Sunday,Amanda Nair,Female,18-24,Alpha 7 IV Mirrorless,Electronics,Cameras,Sony,France,Ile-de-France,Paris,North
ORD-0000021,20210705,CUST-00020,PROD-0059,LOC-0045,1,131.69,166.14,0.0,15.19,166.14,19.26,Delivered,Debit Card,2021-07-05,5,7,July,Q3,2021,Monday,Sophia Bauer,Female,18-24,Vertuo Next Machine,Home & Kitchen,Appliances,Nespresso,France,Auvergne-Rhone-Alpes,Lyon,Southeast
ORD-0000022,20210705,CUST-00073,PROD-0075,LOC-0013,1,19.6,29.99,0.0,14.87,29.99,-4.48,Returned,Credit Card,2021-07-05,5,7,July,Q3,2021,Monday,Tyler Flores,Male,55+,Hydrating Cleanser 473ml,Beauty,Skincare,CeraVe,Canada,Quebec,Montreal,East
ORD-0000023,20210705,CUST-00059,PROD-0037,LOC-0034,2,73.75,122.37,0.0,19.7,244.74,77.54,Delivered,Cash on Delivery,2021-07-05,5,7,July,Q3,2021,Monday,Amelia Sharma,Female,35-44,Linen Blend Blazer,Clothing,Women's Wear,H&M,India,Telangana,Hyderabad,South
ORD-0000024,20210705,CUST-00339,PROD-0062,LOC-0049,1,98.24,136.73,12.22,9.36,124.51,16.91,Delivered,Debit Card,2021-07-05,5,7,July,Q3,2021,Monday,James Martinez,Male,45-54,Wave Hybrid Pillow,Home & Kitchen,Bedding,Casper,France,Hauts-de-France,Lille,North
ORD-0000025,20210705,CUST-00377,PROD-0070,LOC-0055,1,253.24,387.65,16.96,22.95,370.69,94.5,Cancelled,Credit Card,2021-07-05,5,7,July,Q3,2021,Monday,Vikram Harris,Male,35-44,Atmos AG 65 Backpack,Sports,Outdoor,Osprey,Japan,Fukuoka,Fukuoka,South
ORD-0000026,20210705,CUST-00224,PROD-0013,LOC-0024,1,893.76,1137.47,0.0,11.87,1137.47,231.84,Delivered,Debit Card,2021-07-05,5,7,July,Q3,2021,Monday,Eric Bernard,Male,25-34,iPad Pro 12.9-inch,Electronics,Tablets,Apple,Australia,New South Wales,Sydney,East
